indice_tiempo,produccion_bs_as,produccion_catamarca,produccion_chubut,produccion_cordoba,produccion_entre_rios,produccion_jujuy,produccion_la_pampa,produccion_la_rioja,produccion_mendoza,produccion_misiones,produccion_neuquen,produccion_rio_negro,produccion_salta,produccion_san_juan,produccion_san_luis,produccion_tucuman
2012,2114.05,171089.7,130,12509.89,717.42,260.69,15943.71,886182.87,14842594.15,15.2,169897.27,72669.05,239817.08,6023639.03,1062.45,3555.47
2013,2455.7,159772.41,,11191.03,319.38,226.05,16319.99,901125.13,19874054.54,22.4,168332.73,80831.92,294072.28,7204670.18,1103.36,2990.2
2014,3849.6,156263.52,15,7407.47,646.7,304.9,12032.04,1025646.78,18065704.36,,115203.49,63723.97,323966.09,6573407.06,469.77,2446.22
2015,854.87,148229.45,52.53,5590.81,116.1,517.7,11820.72,863624.58,16884088.73,,158332.76,67786.69,314563.55,5694606.38,2067.75,3458.92
2016,1303.14,100032.38,181.1,3638.15,730.92,235.91,17459.66,717815.88,10196051.85,,125719.84,54717.49,211961.91,6152287.35,1153.46,889.04
2017,1417.32,136598.72,548.95,5870.06,1596.71,465.86,12116.38,755261.25,12621819.58,,101298.21,48193.29,364485.73,5597716.11,1754.66,2911.83
